PDB ID,Chain ID,Macromolecule Name,Exp. Method,Classification,Ligand Name
"2O01","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"2O01","C","Photosystem I iron-sulfur center","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"2O01","D","Photosystem I reaction center subunit II, chloroplast","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"2O01","E","Photosystem I reaction center subunit IV A, chloroplast","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"2O01","F","Photosystem I reaction center subunit III, chloroplast","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"2O01","F","Photosystem I reaction center subunit III, chloroplast","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","G","Photosystem I reaction center subunit V, chloroplast","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","H","Photosystem I reaction center subunit VI, chloroplast","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","I","Photosystem I reaction center subunit VIII","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"2O01","I","Photosystem I reaction center subunit VIII","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","J","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","K","Photosystem I reaction center subunit psaK, chloroplast","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","K","Photosystem I reaction center subunit psaK, chloroplast","X-RAY DIFFRACTION","PHOTOSYNTHESIS","UNKNOWN"
"2O01","L","Photosystem I reaction center subunit XI, chloroplast","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"2O01","L","Photosystem I reaction center subunit XI, chloroplast","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2O01","N","Photosystem I-N subunit","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"2VNS","A","METALLOREDUCTASE STEAP3","X-RAY DIFFRACTION","OXIDOREDUCTASE","CITRIC ACID"
"2VNS","B","METALLOREDUCTASE STEAP3","X-RAY DIFFRACTION","OXIDOREDUCTASE",""
"2VQ3","A","METALLOREDUCTASE STEAP3","X-RAY DIFFRACTION","OXIDOREDUCTASE","CITRIC ACID"
"2VQ3","A","METALLOREDUCTASE STEAP3","X-RAY DIFFRACTION","OXIDOREDUCTASE","NADP NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE"
"2VQ3","B","METALLOREDUCTASE STEAP3","X-RAY DIFFRACTION","OXIDOREDUCTASE","NADP NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE"
"2WSC","1","AT3G54890","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","1","AT3G54890","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"2WSC","2","TYPE II CHLOROPHYLL A/B BINDING PROTEIN FROM PHOTOSYSTEM I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","2","TYPE II CHLOROPHYLL A/B BINDING PROTEIN FROM PHOTOSYSTEM I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"2WSC","2","TYPE II CHLOROPHYLL A/B BINDING PROTEIN FROM PHOTOSYSTEM I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","SUCROSE"
"2WSC","3","LHCA3","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"2WSC","3","LHCA3","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","3","LHCA3","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"2WSC","3","LHCA3","X-RAY DIFFRACTION","PHOTOSYNTHESIS","SUCROSE"
"2WSC","4","CHLOROPHYLL A-B BINDING PROTEIN P4, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","4","CHLOROPHYLL A-B BINDING PROTEIN P4, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"2WSC","A","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"2WSC","A","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","A","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"2WSC","A","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"2WSC","B","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"2WSC","B","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","B","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"2WSC","B","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"2WSC","B","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"2WSC","B","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"2WSC","B","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","SUCROSE"
"2WSC","B","PHOTOSYSTEM I P700 CHLOROPHYLL A APOPROTEIN A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","UNKNOWN LIGAND"
"2WSC","C","PHOTOSYSTEM I IRON-SULFUR CENTER","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"2WSC","D","PHOTOSYSTEM I REACTION CENTER SUBUNIT II, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"2WSC","E","PHOTOSYSTEM I REACTION CENTER SUBUNIT IV A, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"2WSC","F","PHOTOSYSTEM I REACTION CENTER SUBUNIT III, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","G","PHOTOSYSTEM I REACTION CENTER SUBUNIT V, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","H","PHOTOSYSTEM I REACTION CENTER SUBUNIT VI, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","H","PHOTOSYSTEM I REACTION CENTER SUBUNIT VI, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","SUCROSE"
"2WSC","I","PHOTOSYSTEM I REACTION CENTER SUBUNIT VIII","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"2WSC","I","PHOTOSYSTEM I REACTION CENTER SUBUNIT VIII","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","J","PHOTOSYSTEM I REACTION CENTER SUBUNIT IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","K","PHOTOSYSTEM I REACTION CENTER SUBUNIT PSAK, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","K","PHOTOSYSTEM I REACTION CENTER SUBUNIT PSAK, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"2WSC","L","PHOTOSYSTEM I REACTION CENTER SUBUNIT XI, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"2WSC","L","PHOTOSYSTEM I REACTION CENTER SUBUNIT XI, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","L","PHOTOSYSTEM I REACTION CENTER SUBUNIT XI, CHLOROPLASTIC","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"2WSC","N","PHOTOSYSTEM I-N SUBUNIT","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"2WSC","R","PHOTOSYSTEM I-N SUBUNIT","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"2WSC","R","PHOTOSYSTEM I-N SUBUNIT","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"2WSC","R","PHOTOSYSTEM I-N SUBUNIT","X-RAY DIFFRACTION","PHOTOSYNTHESIS","UNKNOWN"
"3A1F","A","Cytochrome b-245 heavy chain","X-RAY DIFFRACTION","OXIDOREDUCTASE","NICKEL (II) ION"
"3CU4","A","Cytochrome c family protein","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"3DP5","A","Cytochrome c family protein","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"3DP5","A","Cytochrome c family protein","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"3LW5","1","AT3g54890","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"3LW5","1","AT3g54890","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","1","AT3g54890","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"3LW5","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"3LW5","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"3LW5","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"3LW5","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"3LW5","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"3LW5","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"3LW5","C","Photosystem I iron-sulfur center","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","C","Photosystem I iron-sulfur center","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"3LW5","D","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","E","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","F","Photosystem I reaction center subunit III, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"3LW5","F","Photosystem I reaction center subunit III, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","F","Photosystem I reaction center subunit III, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","G","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","G","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","H","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","H","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","I","Photosystem I reaction center subunit VIII","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"3LW5","I","Photosystem I reaction center subunit VIII","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","J","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"3LW5","J","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","K","Photosystem I reaction center subunit X psaK","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","K","Photosystem I reaction center subunit X psaK","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","L","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"3LW5","L","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","L","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","N","Photosystem I-N subunit","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","R","CHAIN R","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"3LW5","R","CHAIN R","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"3LW5","R","CHAIN R","X-RAY DIFFRACTION","PHOTOSYNTHESIS","UNKNOWN"
"3SEL","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"3SEL","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"3SEL","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"3SJ0","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"3SJ0","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"3SJ0","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"3SJ1","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"3SJ1","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"3SJ1","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"3SJ4","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"3SJ4","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"3SJ4","X","CYTOCHROME C7","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"4AAL","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","ACETATE ION"
"4AAL","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","CALCIUM ION"
"4AAL","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","ETHANOL"
"4AAL","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","HEME C"
"4AAL","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","PHOSPHATE ION"
"4AAL","B","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","ACETATE ION"
"4AAL","B","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","CALCIUM ION"
"4AAL","B","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","HEME C"
"4AAL","B","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","PHOSPHATE ION"
"4AAM","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","CALCIUM ION"
"4AAM","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","HEME C"
"4AAM","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","SULFATE ION"
"4AAN","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","(R,R)-2,3-BUTANEDIOL"
"4AAN","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","CALCIUM ION"
"4AAN","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","HEME C"
"4AAO","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","CALCIUM ION"
"4AAO","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","HEME C"
"4AAO","A","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","SULFATE ION"
"4AAO","B","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","CALCIUM ION"
"4AAO","B","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","HEME C"
"4AAO","B","CYTOCHROME C551 PEROXIDASE","X-RAY DIFFRACTION","OXIDOREDUCTASE","SULFATE ION"
"4HAJ","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"4HAJ","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"4HAJ","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"4HB6","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"4HB6","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"4HB6","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"4HB8","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"4HB8","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"4HB8","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"4HBF","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"4HBF","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"4HBF","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"4HC3","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"4HC3","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"4HC3","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"4HDL","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","(3ALPHA,5BETA,12ALPHA)-3,12-DIHYDROXYCHOLAN-24-OIC ACID"
"4HDL","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"4HDL","A","PpcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","SULFATE ION"
"4LM8","A","Extracellular iron oxide respiratory system surface decaheme cytochrome c component MtrC","X-RAY DIFFRACTION","ELECTRON TRANSPORT","ACETATE ION"
"4LM8","A","Extracellular iron oxide respiratory system surface decaheme cytochrome c component MtrC","X-RAY DIFFRACTION","ELECTRON TRANSPORT","CALCIUM ION"
"4LM8","A","Extracellular iron oxide respiratory system surface decaheme cytochrome c component MtrC","X-RAY DIFFRACTION","ELECTRON TRANSPORT","1,2-ETHANEDIOL"
"4LM8","A","Extracellular iron oxide respiratory system surface decaheme cytochrome c component MtrC","X-RAY DIFFRACTION","ELECTRON TRANSPORT","HEME C"
"4LMH","A","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","CALCIUM ION"
"4LMH","A","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","DIMETHYL SULFOXIDE"
"4LMH","A","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","HEME C"
"4LMH","B","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","CALCIUM ION"
"4LMH","B","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","DIMETHYL SULFOXIDE"
"4LMH","B","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","HEME C"
"4LMH","C","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","CALCIUM ION"
"4LMH","C","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","DIMETHYL SULFOXIDE"
"4LMH","C","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","HEME C"
