EXPERIMENT METHOD,,
OXIDOREDUCTASE/INHIBITOR,17,0.139150364
Membrance Protein,5,0.040926578
tranport protein/inhibitor,7,0.057297209
protein transport/inhibitor,9,0.07366784
MEMBRANE PROTEIN/INHIBITOR,4,0.032741262
"MEMBRANE PROTEIN,TRANSPORT PROTEIN",10,0.081853155
LIPID BINDING PROTEIN,7,0.057297209
IMMUNE SYSTEM,12,0.098223787
TRANSLATION,6,0.049111893
Hydrolase/Transport,5,0.040926578
Signaling Protein/antagonist,7,0.057297209
CALCIUM BINDING PROTEIN,2,0.016370631
Transport Protein/Membrane Protein,2,0.016370631
MOTOR PROTEIN,14,0.114594418
CYTOLYTIC PROTEIN,7,0.057297209
,12217,
